GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900136105.1	3875978	GCF_900136105.1	3897858	
GCA_900137035.1	4213938	GCF_900137035.1	4233628	
GCA_015499835.1	23215288	GCF_015499835.1	23257738	
GCA_900133705.1	3875498	GCF_900133705.1	3896778	
GCA_900132905.1	3874878	GCF_900132905.1	3897778	
GCA_900135685.1	4216358	GCF_900135685.1	4232188	
GCA_015499805.1	23215268	GCF_015499805.1	23258518	
GCA_900141315.1	3872558	GCF_900141315.1	3895678	
GCA_900136295.1	4206378	GCF_900136295.1	4234288	
GCA_900140565.1	3873438	GCF_900140565.1	3895438	
GCA_900137915.1	3878198	GCF_900137915.1	3898918	
GCA_900141675.1	3878318	GCF_900141675.1	3899058	
GCA_900132185.1	4207478	GCF_900132185.1	4237488	
GCA_900137645.1	4212338	GCF_900137645.1	4234988	
GCA_900138185.1	4205178	GCF_900138185.1	4235388	
GCA_002799625.1	5686858	GCF_002799625.1	5693888	
GCA_900132695.1	4213078	GCF_900132695.1	4235728	
GCA_900136375.1	4213358	GCF_900136375.1	4238408	
GCA_900136085.1	4207598	GCF_900136085.1	4231668	
GCA_900133095.1	4207518	GCF_900133095.1	4231628	
GCA_900137045.1	3874818	GCF_900137045.1	3899518	
GCA_900138265.1	4207578	GCF_900138265.1	4236228	
GCA_900138045.1	4205398	GCF_900138045.1	4235908	
GCA_900135795.1	4209518	GCF_900135795.1	4236648	
GCA_900136645.1	3869998	GCF_900136645.1	3892718	
GCA_900134775.1	4207338	GCF_900134775.1	4231908	
GCA_900135925.1	3876198	GCF_900135925.1	3896818	
GCA_900131435.1	3873898	GCF_900131435.1	3896538	
GCA_900141355.1	4216158	GCF_900141355.1	4241328	
GCA_900132915.1	4215158	GCF_900132915.1	4233288	
GCA_900134795.1	4214538	GCF_900134795.1	4232908	
GCA_900141555.1	3877938	GCF_900141555.1	3898678	
GCA_900140945.1	4212038	GCF_900140945.1	4234888	
GCA_900141335.1	3872538	GCF_900141335.1	3895398	
GCA_017174925.1	25339788	GCF_017174925.1	25448048	
GCA_900132495.1	4212378	GCF_900132495.1	4239028	
GCA_900135635.1	4215018	GCF_900135635.1	4231448	
GCA_900136915.1	3874038	GCF_900136915.1	3895918	
GCA_900137365.1	4217358	GCF_900137365.1	4229248	
GCA_900138245.1	4217098	GCF_900138245.1	4234328	
GCA_002800225.1	5687488	GCF_002800225.1	5694628	
GCA_015499865.1	23215328	GCF_015499865.1	23257798	
GCA_002801965.1	5689218	GCF_002801965.1	5693268	
GCA_900137375.1	3876558	GCF_900137375.1	3897518	
GCA_900134225.1	3874638	GCF_900134225.1	3897478	
GCA_900138215.1	4213878	GCF_900138215.1	4230128	
GCA_900132175.1	3874158	GCF_900132175.1	3895598	
GCA_900140495.1	4206018	GCF_900140495.1	4235008	
GCA_900137125.1	3877578	GCF_900137125.1	3899658	
GCA_900135765.1	3874598	GCF_900135765.1	3897718	
GCA_900132875.1	3874838	GCF_900132875.1	3897458	
GCA_900136305.1	4208238	GCF_900136305.1	4229348	
GCA_900134605.1	3875778	GCF_900134605.1	3897838	
GCA_900141125.1	3872878	GCF_900141125.1	3895638	
GCA_900140105.1	3872178	GCF_900140105.1	3894818	
GCA_900136905.1	3867758	GCF_900136905.1	3890878	
GCA_002800165.1	5687428	GCF_002800165.1	5694728	
GCA_900134505.1	3875618	GCF_900134505.1	3896458	
GCA_900136975.1	3874538	GCF_900136975.1	3898218	
GCA_900131045.1	3875198	GCF_900131045.1	3896258	
